url,format,image,start_date,end_date,tz,title,Length
https://d2hxwnssq7ss7g.cloudfront.net/dkhyPhIBrq8P_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/dkhyPhIBrq8P_cvt_00001.jpg,2021-01-06 13:49:00,2021-01-06 13:49:59,EDT,Near Capitol,59727
https://d2hxwnssq7ss7g.cloudfront.net/nkL4Fpk5C8U1_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/nkL4Fpk5C8U1_cvt_00001.jpg,2021-01-06 13:49:00,2021-01-06 13:52:36,EDT,Near Capitol,216116
https://d2hxwnssq7ss7g.cloudfront.net/4ENe4AvLzDXg_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/4ENe4AvLzDXg_cvt_00001.jpg,2021-01-06 13:50:00,2021-01-06 13:50:42,EDT,Near Capitol,42443
https://d2hxwnssq7ss7g.cloudfront.net/9ZAjhK7oy3a1_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/9ZAjhK7oy3a1_cvt_00001.jpg,2021-01-06 13:51:00,2021-01-06 13:52:18,EDT,Near Capitol,78813
https://d2hxwnssq7ss7g.cloudfront.net/k443ZpAgCzA7_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/k443ZpAgCzA7_cvt_00001.jpg,2021-01-06 13:51:00,2021-01-06 13:52:42,EDT,Near Capitol,102400
https://d2hxwnssq7ss7g.cloudfront.net/4AquVMy2oe6C_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/4AquVMy2oe6C_cvt_00001.jpg,2021-01-06 13:52:00,2021-01-06 13:52:18,EDT,Near Capitol,18719
https://d2hxwnssq7ss7g.cloudfront.net/9wOEguonR5WK_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/9wOEguonR5WK_cvt_00001.jpg,2021-01-06 13:53:00,2021-01-06 13:53:11,EDT,Near Capitol,11912
https://d2hxwnssq7ss7g.cloudfront.net/mAXJK2q00tGs_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/mAXJK2q00tGs_cvt_00001.jpg,2021-01-06 13:53:00,2021-01-06 13:53:32,EDT,Near Capitol,32067
https://d2hxwnssq7ss7g.cloudfront.net/Lap0L50xI3S5_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/Lap0L50xI3S5_cvt_00001.jpg,2021-01-06 13:54:00,2021-01-06 13:54:47,EDT,Near Capitol,47334
https://d2hxwnssq7ss7g.cloudfront.net/QjlS1mXfbokU_cvt.mp4,mp4,https://propublica-data-neparlepas-transcoded.s3.amazonaws.com/QjlS1mXfbokU_cvt_00001.jpg,2021-01-06 13:54:00,2021-01-06 13:54:07,EDT,Near Capitol,7241
